"LocationID","t","price","time","diff"
"1","2016-10-04 07:59:00","10.0","1751548309130","1"
"2","2016-10-04 07:59:00","10.0","1751548309130","1"
"0","2016-10-04 07:59:00","10.0","1751548309130","1"
"12","2016-10-04 07:59:00","10.0","1751548309130","1"
"3","2016-10-04 07:59:00","10.0","1751548309130","1"
"13","2016-10-04 07:59:00","10.0","1751548309130","1"
"5","2016-10-04 07:59:00","10.0","1751548309130","1"
"11","2016-10-04 07:59:00","10.0","1751548309132","1"
"10","2016-10-04 07:59:00","10.0","1751548309134","1"
"6","2016-10-04 07:59:00","10.0","1751548309134","1"
"4","2016-10-04 07:59:00","10.0","1751548309136","1"
"8","2016-10-04 07:59:00","10.0","1751548309138","1"
"7","2016-10-04 07:59:00","10.0","1751548309140","1"
"11","2016-10-04 07:59:00","10.0","1751548309142","-1"
"9","2016-10-04 07:59:00","10.0","1751548309142","1"
"11","2016-10-04 08:25:00","10.018078668683813","1751548309142","1"
"3","2016-10-04 07:59:00","10.0","1751548309144","-1"
"6","2016-10-04 07:59:00","10.0","1751548309144","-1"
"3","2016-10-04 08:25:00","10.027525773195876","1751548309144","1"
"6","2016-10-04 08:25:00","10.019412643106023","1751548309144","1"
"7","2016-10-04 07:59:00","10.0","1751548309146","-1"
"8","2016-10-04 07:59:00","10.0","1751548309146","-1"
"7","2016-10-04 08:25:00","10.011321075927818","1751548309146","1"
"8","2016-10-04 08:25:00","10.018890033479268","1751548309146","1"
"0","2016-10-04 07:59:00","10.0","1751548309148","-1"
"4","2016-10-04 07:59:00","10.0","1751548309148","-1"
"0","2016-10-04 08:25:00","10.02197962154294","1751548309148","1"
"4","2016-10-04 08:25:00","10.016666666666667","1751548309148","1"
"12","2016-10-04 07:59:00","10.0","1751548309150","-1"
"12","2016-10-04 08:25:00","10.018510638297872","1751548309150","1"
"1","2016-10-04 07:59:00","10.0","1751548309152","-1"
"9","2016-10-04 07:59:00","10.0","1751548309152","-1"
"1","2016-10-04 08:25:00","10.019492753623188","1751548309152","1"
"9","2016-10-04 08:25:00","10.010924911376089","1751548309152","1"
"13","2016-10-04 07:59:00","10.0","1751548309154","-1"
"10","2016-10-04 07:59:00","10.0","1751548309154","-1"
"13","2016-10-04 08:25:00","10.019817708333333","1751548309154","1"
"10","2016-10-04 08:25:00","10.004245451302177","1751548309154","1"
"2","2016-10-04 07:59:00","10.0","1751548309156","-1"
"5","2016-10-04 07:59:00","10.0","1751548309156","-1"
"2","2016-10-04 08:25:00","10.013125","1751548309156","1"
"5","2016-10-04 08:25:00","10.005545927209706","1751548309156","1"
"11","2016-10-04 08:25:00","10.018078668683813","1751548309158","-1"
"11","2016-10-04 08:59:00","10.03767019667171","1751548309158","1"
"4","2016-10-04 08:25:00","10.016666666666667","1751548309160","-1"
"10","2016-10-04 08:25:00","10.004245451302177","1751548309160","-1"
"4","2016-10-04 08:59:00","10.03669250645995","1751548309160","1"
"10","2016-10-04 08:59:00","10.010007135212273","1751548309160","1"
"13","2016-10-04 08:25:00","10.019817708333333","1751548309162","-1"
"8","2016-10-04 08:25:00","10.018890033479268","1751548309162","-1"
"13","2016-10-04 08:59:00","10.044765625","1751548309162","1"
"8","2016-10-04 08:59:00","10.044733453515322","1751548309162","1"
"1","2016-10-04 08:25:00","10.019492753623188","1751548309164","-1"
"3","2016-10-04 08:25:00","10.027525773195876","1751548309164","-1"
"1","2016-10-04 08:59:00","10.049565217391304","1751548309164","1"
"3","2016-10-04 08:59:00","10.056185567010308","1751548309164","1"
"12","2016-10-04 08:25:00","10.018510638297872","1751548309166","-1"
"12","2016-10-04 08:59:00","10.047127659574468","1751548309166","1"
"0","2016-10-04 08:25:00","10.02197962154294","1751548309168","-1"
"5","2016-10-04 08:25:00","10.005545927209706","1751548309168","-1"
"0","2016-10-04 08:59:00","10.047161572052401","1751548309168","1"
"5","2016-10-04 08:59:00","10.012478336221838","1751548309168","1"
"2","2016-10-04 08:25:00","10.013125","1751548309170","-1"
"9","2016-10-04 08:25:00","10.010924911376089","1751548309170","-1"
"2","2016-10-04 08:59:00","10.031500000000001","1751548309170","1"
"9","2016-10-04 08:59:00","10.023686754753465","1751548309170","1"
"7","2016-10-04 08:25:00","10.011321075927818","1751548309172","-1"
"7","2016-10-04 08:59:00","10.025757575757575","1751548309172","1"
"12","2016-10-04 08:59:00","10.047127659574468","1751548309174","-1"
"6","2016-10-04 08:25:00","10.019412643106023","1751548309174","-1"
"12","2016-10-04 09:32:00","10.084468085106382","1751548309174","1"
"6","2016-10-04 08:59:00","10.04091587854654","1751548309174","1"
"7","2016-10-04 08:59:00","10.025757575757575","1751548309176","-1"
"4","2016-10-04 08:59:00","10.03669250645995","1751548309176","-1"
"7","2016-10-04 09:32:00","10.043394620360912","1751548309176","1"
"4","2016-10-04 09:32:00","10.063049095607237","1751548309176","1"
"1","2016-10-04 08:59:00","10.049565217391304","1751548309178","-1"
"11","2016-10-04 08:59:00","10.03767019667171","1751548309178","-1"
"1","2016-10-04 09:32:00","10.087971014492753","1751548309178","1"
"11","2016-10-04 09:32:00","10.05998487140696","1751548309178","1"
"9","2016-10-04 08:59:00","10.023686754753465","1751548309180","-1"
"9","2016-10-04 09:32:00","10.038704479535934","1751548309180","1"
"10","2016-10-04 08:59:00","10.010007135212273","1751548309182","-1"
"6","2016-10-04 08:59:00","10.04091587854654","1751548309182","-1"
"10","2016-10-04 09:32:00","10.017499108098466","1751548309182","1"
"6","2016-10-04 09:32:00","10.06590343454455","1751548309182","1"
"13","2016-10-04 08:59:00","10.044765625","1751548309184","-1"
"5","2016-10-04 08:59:00","10.012478336221838","1751548309184","-1"
"13","2016-10-04 09:32:00","10.073958333333334","1751548309184","1"
"5","2016-10-04 09:32:00","10.021750433275564","1751548309184","1"
"0","2016-10-04 08:59:00","10.047161572052401","1751548309186","-1"
"8","2016-10-04 08:59:00","10.044733453515322","1751548309186","-1"
"0","2016-10-04 09:32:00","10.077292576419213","1751548309186","1"
"8","2016-10-04 09:32:00","10.07695081122843","1751548309186","1"
"2","2016-10-04 08:59:00","10.031500000000001","1751548309188","-1"
"2","2016-10-04 09:32:00","10.0545","1751548309188","1"
"2","2016-10-04 09:32:00","10.0545","1751548309190","-1"
"3","2016-10-04 08:59:00","10.056185567010308","1751548309190","-1"
"2","2016-10-04 09:59:00","10.081083333333334","1751548309190","1"
"3","2016-10-04 09:32:00","10.087319587628865","1751548309190","1"
"13","2016-10-04 09:32:00","10.073958333333334","1751548309192","-1"
"11","2016-10-04 09:32:00","10.05998487140696","1751548309192","-1"
"13","2016-10-04 09:59:00","10.106614583333334","1751548309192","1"
"11","2016-10-04 09:59:00","10.084833585476552","1751548309192","1"
"12","2016-10-04 09:32:00","10.084468085106382","1751548309194","-1"
"12","2016-10-04 09:59:00","10.126702127659573","1751548309194","1"
"9","2016-10-04 09:32:00","10.038704479535934","1751548309196","-1"
"10","2016-10-04 09:32:00","10.017499108098466","1751548309196","-1"
"9","2016-10-04 09:59:00","10.055655816951338","1751548309196","1"
"10","2016-10-04 09:59:00","10.025990010702818","1751548309196","1"
"4","2016-10-04 09:32:00","10.063049095607237","1751548309198","-1"
